date,holiday name
2022-01-01,New Year's Day
2022-02-01,Lunar New Year's Day
2022-02-28,Ascension of the Prophet Muhammad
2022-03-03,Bali's Day of Silence and Hindu New Year (Nyepi)
2022-04-15,Good Friday
2022-04-17,Easter Sunday
2022-04-21,Kartini Day
2022-04-29,Idul Fitri Joint Holiday
2022-05-01,International Labor Day
2022-05-02,Idul Fitri
2022-05-03,Idul Fitri Holiday
2022-05-04,Idul Fitri Joint Holiday
2022-05-05,Idul Fitri Joint Holiday
2022-05-06,Idul Fitri Joint Holiday
2022-05-16,Waisak Day (Buddha's Anniversary)
2022-05-26,Ascension Day of Jesus Christ
2022-06-01,Pancasila Day
2022-07-10,Idul Adha
2022-07-30,Muharram / Islamic New Year
2022-08-17,Indonesian Independence Day
2022-10-02,Batik Day
2022-10-08,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday)
2022-10-24,Diwali
2022-11-12,Father's Day
2022-11-25,Teacher's Day
2022-12-22,Mother's Day
2022-12-24,Christmas Eve
2022-12-25,Christmas Day
2022-12-31,New Year's Eve
