date,holiday name
2022-01-01,Republic Day/New Year's Day
2022-01-22,Special Working Day
2022-01-31,Lunar New Year's Eve
2022-02-01,Lunar New Year's Day
2022-02-02,Lunar New Year Holiday
2022-02-03,Lunar New Year Holiday
2022-02-04,Farmer's Day
2022-02-04,Lunar New Year Holiday
2022-02-05,Lunar New Year Holiday
2022-02-15,Lantern Festival
2022-02-28,Peace Memorial Day
2022-03-08,International Women's Day
2022-03-29,Youth Day
2022-04-04,Children's Day
2022-04-05,Tomb Sweeping Day
2022-05-01,Labor Day
2022-05-02,Labor Day observed
2022-06-03,Dragon Boat Festival
2022-08-12,Hungry Ghost Festival
2022-09-03,Armed Forces Day
2022-09-09,Mid-Autumn Festival Holiday
2022-09-10,Mid-Autumn Festival
2022-09-28,Teachers' Day
2022-10-04,Double Ninth Day
2022-10-10,National Day
2022-10-25,Taiwan's Retrocession Day
2022-12-25,Constitution Day
