date,holiday name
2022-01-01,New Year's Day
2022-01-03,New Year's Day observed
2022-01-04,2nd January (substitute day) (Scotland)
2022-01-05,Twelfth Night
2022-02-14,Valentine's Day
2022-03-01,Carnival / Shrove Tuesday / Pancake Day
2022-03-17,St Patrick's Day (Northern Ireland)
2022-03-27,Mother's Day
2022-03-27,Daylight Saving Time starts
2022-04-15,Good Friday
2022-04-17,Easter Sunday
2022-04-18,Easter Monday (regional holiday)
2022-04-23,St. George's Day
2022-05-02,Early May Bank Holiday
2022-06-02,Spring Bank Holiday
2022-06-03,Queen Elizabeth II's Platinum Jubilee
2022-06-11,Queen Elizabeth II's Birthday
2022-06-19,Father's Day
2022-07-12,Battle of the Boyne (Northern Ireland)
2022-08-01,Summer Bank Holiday (Scotland)
2022-08-29,Summer Bank Holiday (regional holiday)
2022-09-19,State Funeral of Queen Elizabeth II
2022-10-30,Daylight Saving Time ends
2022-10-31,Halloween
2022-11-05,Guy Fawkes Day
2022-11-13,Remembrance Sunday
2022-11-30,St Andrew's Day (Scotland)
2022-12-24,Christmas Eve
2022-12-25,Christmas Day
2022-12-26,Boxing Day
2022-12-27,Substitute Bank Holiday for Christmas Day
2022-12-31,New Year's Eve
