date,holiday name
2022-01-01,New Year's Day
2022-01-17,Martin Luther King Jr. Day
2022-02-01,First Day of Black History Month
2022-02-14,Valentine's Day
2022-02-21,Presidents' Day
2022-03-01,First Day of Women's History Month
2022-03-13,Daylight Saving Time starts
2022-03-17,St. Patrick's Day
2022-04-17,Easter Sunday
2022-04-18,Easter Monday
2022-04-18,Tax Day
2022-05-01,First Day of Asian Pacific American Heritage Month
2022-05-05,Cinco de Mayo
2022-05-08,Mother's Day
2022-05-30,Memorial Day
2022-06-01,First Day of LGBTQ+ Pride Month
2022-06-14,Flag Day
2022-06-19,Father's Day
2022-06-19,Juneteenth
2022-06-20,Juneteenth (substitute)
2022-07-04,Independence Day
2022-09-05,Labor Day
2022-09-15,First Day of Hispanic Heritage Month
2022-10-10,Indigenous Peoples' Day
2022-10-10,Columbus Day
2022-10-31,Halloween
2022-11-01,First Day of American Indian Heritage Month
2022-11-06,Daylight Saving Time ends
2022-11-08,Election Day
2022-11-11,Veterans Day
2022-11-24,Thanksgiving Day
2022-11-25,Native American Heritage Day
2022-12-24,Christmas Eve
2022-12-25,Christmas Day
2022-12-26,Christmas Day (substitute)
2022-12-31,New Year's Eve
