date,holiday_name,type
2018-01-01,New Year's Day,Public Holiday
2018-02-14,Maha Shivaratri,Hindu Holiday
2018-02-16,Lunar New Year's Day,Public Holiday
2018-03-10,Holi,Hindu Holiday
2018-03-17,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday
2018-03-20,March Equinox,Season
2018-03-30,Good Friday,Public Holiday
2018-04-01,Easter Sunday,Observance
2018-04-14,Ascension of the Prophet Muhammad,Public Holiday
2018-05-01,International Labor Day,Public Holiday
2018-05-10,Ascension Day of Jesus Christ,Public Holiday
2018-05-29,Waisak Day (Buddha's Anniversary),Public Holiday
2018-06-01,Pancasila Day,National holiday
2018-06-11,Idul Fitri Joint Holiday,Joint Holiday
2018-06-12,Idul Fitri Joint Holiday,Joint Holiday
2018-06-13,Idul Fitri Joint Holiday,Joint Holiday
2018-06-14,Idul Fitri Joint Holiday,Joint Holiday
2018-06-15,Idul Fitri,Public Holiday
2018-06-16,Idul Fitri Holiday,Public Holiday
2018-06-18,Idul Fitri Joint Holiday,Joint Holiday
2018-06-19,Idul Fitri Joint Holiday,Joint Holiday
2018-06-20,Idul Fitri Joint Holiday,Joint Holiday
2018-06-21,June Solstice,Season
2018-06-27,Regional Election Day,Public Holiday
2018-08-17,Indonesian Independence Day,Public Holiday
2018-08-22,Idul Adha,Public Holiday
2018-08-26,Raksha Bandhan,Hindu Holiday
2018-09-02,Janmashtami,Hindu Holiday
2018-09-11,Muharram / Islamic New Year,Public Holiday
2018-09-13,Ganesh Chaturthi,Hindu Holiday
2018-09-23,September Equinox,Season
2018-10-10,Navaratri,Hindu Holiday
2018-10-19,Dussehra,Hindu Holiday
2018-11-07,Diwali,Observance
2018-11-20,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Public Holiday
2018-12-22,December Solstice,Season
2018-12-24,Christmas Eve Joint Holiday,Joint Holiday
2018-12-25,Christmas Day,Public Holiday
2018-12-31,New Year's Eve,Observance
2019-01-01,New Year's Day,Public Holiday
2019-02-05,Lunar New Year's Day,Public Holiday
2019-03-04,Maha Shivaratri,Hindu Holiday
2019-03-07,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday
2019-03-21,Holi,Hindu Holiday
2019-03-21,March Equinox,Season
2019-04-03,Ascension of the Prophet Muhammad,Public Holiday
2019-04-17,Election Day,Public Holiday
2019-04-19,Good Friday,Public Holiday
2019-04-21,Easter Sunday,Observance
2019-05-01,International Labor Day,Public Holiday
2019-05-19,Waisak Day (Buddha's Anniversary),Public Holiday
2019-05-30,Ascension Day of Jesus Christ,Public Holiday
2019-06-01,Pancasila Day,National holiday
2019-06-03,Idul Fitri Joint Holiday,Joint Holiday
2019-06-04,Idul Fitri Joint Holiday,Joint Holiday
2019-06-05,Idul Fitri,Public Holiday
2019-06-06,Idul Fitri Holiday,Public Holiday
2019-06-07,Idul Fitri Joint Holiday,Joint Holiday
2019-06-21,June Solstice,Season
2019-08-11,Idul Adha,Public Holiday
2019-08-15,Raksha Bandhan,Hindu Holiday
2019-08-17,Indonesian Independence Day,Public Holiday
2019-08-24,Janmashtami,Hindu Holiday
2019-09-01,Muharram / Islamic New Year,Public Holiday
2019-09-02,Ganesh Chaturthi,Hindu Holiday
2019-09-23,September Equinox,Season
2019-09-29,Navaratri,Hindu Holiday
2019-10-08,Dussehra,Hindu Holiday
2019-10-27,Diwali,Observance
2019-11-09,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Public Holiday
2019-12-22,December Solstice,Season
2019-12-24,Christmas Eve Joint Holiday,Joint Holiday
2019-12-25,Christmas Day,Public Holiday
2019-12-31,New Year's Eve,Observance
2020-01-01,New Year's Day,Public Holiday
2020-01-25,Lunar New Year's Day,Public Holiday
2020-02-21,Maha Shivaratri,Hindu Holiday
2020-03-10,Holi,Hindu Holiday
2020-03-20,March Equinox,Season
2020-03-22,Ascension of the Prophet Muhammad,Public Holiday
2020-03-25,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday
2020-04-10,Good Friday,Public Holiday
2020-04-12,Easter Sunday,Observance
2020-05-01,International Labor Day,Public Holiday
2020-05-07,Waisak Day (Buddha's Anniversary),Public Holiday
2020-05-21,Ascension Day of Jesus Christ,Public Holiday
2020-05-24,Idul Fitri,Public Holiday
2020-05-25,Idul Fitri Holiday,Public Holiday
2020-06-01,Pancasila Day,National holiday
2020-06-21,June Solstice,Season
2020-07-31,Idul Adha,Public Holiday
2020-08-03,Raksha Bandhan,Hindu Holiday
2020-08-11,Janmashtami,Hindu Holiday
2020-08-17,Indonesian Independence Day,Public Holiday
2020-08-20,Muharram / Islamic New Year,Public Holiday
2020-08-21,Muharram / Islamic New Year Holiday,Joint Holiday
2020-08-22,Ganesh Chaturthi,Hindu Holiday
2020-09-22,September Equinox,Season
2020-10-17,Navaratri,Hindu Holiday
2020-10-25,Dussehra,Hindu Holiday
2020-10-28,Joint Holiday for Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Joint Holiday
2020-10-29,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Public Holiday
2020-10-30,Joint Holiday for Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Joint Holiday
2020-11-14,Diwali,Observance
2020-12-09,Election Day,Public Holiday
2020-12-21,December Solstice,Season
2020-12-24,Christmas Eve Joint Holiday,Joint Holiday
2020-12-25,Christmas Day,Public Holiday
2020-12-31,New Year's Eve,Observance
2021-01-01,New Year's Day,Public Holiday
2021-02-12,Lunar New Year's Day,Public Holiday
2021-03-11,Maha Shivaratri,Hindu Holiday
2021-03-11,Ascension of the Prophet Muhammad,Public Holiday
2021-03-12,Joint Holiday (Cuti Bersama),Joint Holiday
2021-03-14,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday
2021-03-20,March Equinox,Season
2021-03-29,Holi,Hindu Holiday
2021-04-02,Good Friday,Public Holiday
2021-04-04,Easter Sunday,Observance
2021-05-01,International Labor Day,Public Holiday
2021-05-12,Idul Fitri Joint Holiday,Joint Holiday
2021-05-13,Idul Fitri,Public Holiday
2021-05-13,Ascension Day of Jesus Christ,Public Holiday
2021-05-14,Idul Fitri Holiday,Public Holiday
2021-05-17,Idul Fitri Joint Holiday,Joint Holiday
2021-05-18,Idul Fitri Joint Holiday,Joint Holiday
2021-05-19,Idul Fitri Joint Holiday,Joint Holiday
2021-05-26,Waisak Day (Buddha's Anniversary),Public Holiday
2021-06-01,Pancasila Day,National holiday
2021-06-21,June Solstice,Season
2021-07-20,Idul Adha,Public Holiday
2021-08-10,Muharram / Islamic New Year,Observance
2021-08-11,Muharram / Islamic New Year,Public Holiday
2021-08-17,Indonesian Independence Day,Public Holiday
2021-08-22,Raksha Bandhan,Hindu Holiday
2021-08-30,Janmashtami,Hindu Holiday
2021-09-10,Ganesh Chaturthi,Hindu Holiday
2021-09-23,September Equinox,Season
2021-10-07,Navaratri,Hindu Holiday
2021-10-15,Dussehra,Hindu Holiday
2021-10-19,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Public Holiday
2021-10-20,Day off for Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Public Holiday
2021-11-04,Diwali,Observance
2021-12-21,December Solstice,Season
2021-12-24,Christmas Eve,Observance
2021-12-25,Christmas Day,Public Holiday
2021-12-27,Joint Holiday for Boxing Day,Joint Holiday
2021-12-31,New Year's Eve,Observance
2022-01-01,New Year's Day,Public Holiday
2022-02-01,Lunar New Year's Day,Public Holiday
2022-02-28,Ascension of the Prophet Muhammad,Public Holiday
2022-03-01,Maha Shivaratri,Hindu Holiday
2022-03-03,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday
2022-03-18,Holi,Hindu Holiday
2022-03-20,March Equinox,Season
2022-04-15,Good Friday,Public Holiday
2022-04-17,Easter Sunday,Observance
2022-04-29,Idul Fitri Joint Holiday,Joint Holiday
2022-05-01,International Labor Day,Public Holiday
2022-05-02,Idul Fitri,Public Holiday
2022-05-03,Idul Fitri Holiday,Public Holiday
2022-05-04,Idul Fitri Joint Holiday,Joint Holiday
2022-05-05,Idul Fitri Joint Holiday,Joint Holiday
2022-05-06,Idul Fitri Joint Holiday,Joint Holiday
2022-05-16,Waisak Day (Buddha's Anniversary),Public Holiday
2022-05-26,Ascension Day of Jesus Christ,Public Holiday
2022-06-01,Pancasila Day,National holiday
2022-06-21,June Solstice,Season
2022-07-10,Idul Adha,Public Holiday
2022-07-30,Muharram / Islamic New Year,Public Holiday
2022-08-12,Raksha Bandhan,Hindu Holiday
2022-08-17,Indonesian Independence Day,Public Holiday
2022-08-19,Janmashtami,Hindu Holiday
2022-08-31,Ganesh Chaturthi,Hindu Holiday
2022-09-23,September Equinox,Season
2022-09-26,Navaratri,Hindu Holiday
2022-10-05,Dussehra,Hindu Holiday
2022-10-08,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Public Holiday
2022-10-24,Diwali,Observance
2022-12-22,December Solstice,Season
2022-12-24,Christmas Eve,Observance
2022-12-25,Christmas Day,Public Holiday
2022-12-31,New Year's Eve,Observance
2023-01-01,New Year's Day,Public Holiday
2023-01-22,Lunar New Year's Day,Public Holiday
2023-01-23,Lunar New Year Joint Holiday,Joint Holiday
2023-02-18,Maha Shivaratri,Hindu Holiday
2023-02-18,Ascension of the Prophet Muhammad,Public Holiday
2023-03-08,Holi,Hindu Holiday
2023-03-21,March Equinox,Season
2023-03-22,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday
2023-03-23,Ramadan Start,Observance
2023-03-23,Joint Holiday for Bali's Day of Silence and Hindu New Year (Nyepi),Joint Holiday
2023-04-07,Good Friday,Public Holiday
2023-04-09,Easter Sunday,Observance
2023-04-19,Idul Fitri Joint Holiday,Joint Holiday
2023-04-20,Idul Fitri Joint Holiday,Joint Holiday
2023-04-21,Idul Fitri Joint Holiday,Joint Holiday
2023-04-22,Idul Fitri,Public Holiday
2023-04-23,Idul Fitri Holiday,Public Holiday
2023-04-24,Idul Fitri Joint Holiday,Joint Holiday
2023-04-25,Idul Fitri Joint Holiday,Joint Holiday
2023-05-01,International Labor Day,Public Holiday
2023-05-18,Ascension Day of Jesus Christ,Public Holiday
2023-06-01,Pancasila Day,National holiday
2023-06-02,Joint Holiday for Waisak Day,Joint Holiday
2023-06-04,Waisak Day (Buddha's Anniversary),Public Holiday
2023-06-21,June Solstice,Season
2023-06-29,Idul Adha,Public Holiday
2023-07-19,Muharram / Islamic New Year,Public Holiday
2023-08-17,Indonesian Independence Day,Public Holiday
