date,holiday_name,type
2018-01-01,New Year's Day,Federal Holiday
2018-01-01,New Year's Eve observed,State Holiday
2018-01-04,World Braille Day,Worldwide observance
2018-01-06,Epiphany,Christian
2018-01-07,Orthodox Christmas Day,Orthodox
2018-01-07,International Programmers' Day,Worldwide observance
2018-01-08,Battle of New Orleans,State Legal Holiday
2018-01-12,Lee-Jackson Day,State Holiday
2018-01-13,Stephen Foster Memorial Day,Observance
2018-01-14,Orthodox New Year,Orthodox
2018-01-15,Martin Luther King Jr. Day,Federal Holiday
2018-01-15,Robert E. Lee's Birthday,State Holiday
2018-01-15,Idaho Human Rights Day,State Holiday
2018-01-15,Civil Rights Day,State Holiday
2018-01-19,Robert E. Lee's Birthday,State Legal Holiday
2018-01-19,State Holiday,State Observance
2018-01-19,Confederate Heroes' Day,State Holiday
2018-01-21,World Religion Day,Worldwide observance
2018-01-26,International Customs Day,Worldwide observance
2018-01-27,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance
2018-01-28,World Leprosy Day,Worldwide observance
2018-01-29,Kansas Day,State Observance
2018-01-31,Tu Bishvat/Tu B'Shevat,Jewish holiday
2018-02-01,National Freedom Day,Observance
2018-02-01,First Day of Black History Month,Annual Monthly Observance
2018-02-02,World Wetlands Day,Worldwide observance
2018-02-02,Groundhog Day,Observance
2018-02-02,National Wear Red Day,Observance
2018-02-04,World Cancer Day,Worldwide observance
2018-02-04,Rosa Parks Day,Local observance
2018-02-04,Rosa Parks Day,State Observance
2018-02-04,Super Bowl,Sporting event
2018-02-06,International Day of Zero Tolerance for Female Genital Mutilation,United Nations observance
2018-02-06,Ronald Reagan Day,State Observance
2018-02-07,National Girls and Women in Sports Day,Observance
2018-02-11,International Day of Women and Girls in Science,United Nations observance
2018-02-11,World Day of the Sick,Worldwide observance
2018-02-12,Lincoln's Birthday,State Holiday
2018-02-12,Lincoln's Birthday,State Legal Holiday
2018-02-12,Georgia Day,State Observance
2018-02-13,Maha Shivaratri,Hindu Holiday
2018-02-13,World Radio Day,United Nations observance
2018-02-13,Shrove Tuesday/Mardi Gras,State Holiday
2018-02-13,Shrove Tuesday/Mardi Gras,"Observance, Christian"
2018-02-14,Ash Wednesday,Christian
2018-02-14,Valentine's Day,Observance
2018-02-14,Statehood Day,Local observance
2018-02-15,Susan B. Anthony's Birthday,State Observance
2018-02-16,Lunar New Year,Observance
2018-02-16,Elizabeth Peratrovich Day,State Observance
2018-02-19,Presidents' Day,Federal Holiday
2018-02-19,Presidents' Day,State Holiday
2018-02-19,Presidents' Day,State Legal Holiday
2018-02-19,Daisy Gatson Bates Day,State Holiday
2018-02-20,World Day of Social Justice,United Nations observance
2018-02-21,International Mother Language Day,United Nations observance
2018-02-25,African-American Scientist and Inventor Day,State Observance
2018-02-25,George Rogers Clark Day,State Observance
2018-02-28,Linus Pauling Day,Local observance
2018-03-01,Purim,Jewish holiday
2018-03-01,Zero Discrimination Day,United Nations observance
2018-03-01,Self-Injury Awareness Day,Worldwide observance
2018-03-01,St. David's Day,"Observance, Christian"
2018-03-01,First Day of Women's History Month,Annual Monthly Observance
2018-03-01,First Day of Irish American Heritage Month,Annual Monthly Observance
2018-03-02,Holi,Hindu Holiday
2018-03-02,Texas Independence Day,State Holiday
2018-03-02,Read Across America Day,Observance
2018-03-02,Employee Appreciation Day,Observance
2018-03-03,World Wildlife Day,United Nations observance
2018-03-04,Casimir Pulaski Day,State Observance
2018-03-05,Casimir Pulaski Day,State Observance
2018-03-06,Town Meeting Day,State Holiday
2018-03-08,International Women's Day,United Nations observance
2018-03-08,World Kidney Day,Worldwide observance
2018-03-11,Daylight Saving Time starts,Clock change/Daylight Saving Time
2018-03-16,Evacuation Day observed,State Holiday
2018-03-17,St. Patrick's Day,"Observance, Christian"
2018-03-17,Evacuation Day,State Holiday
2018-03-20,French Language Day,United Nations observance
2018-03-20,International Day of Happiness,United Nations observance
2018-03-20,March Equinox,Season
2018-03-21,International Day for the Elimination of Racial Discrimination,United Nations observance
2018-03-21,World Poetry Day,United Nations observance
2018-03-21,International Day of Nowruz,United Nations observance
2018-03-21,World Down Syndrome Day,United Nations observance
2018-03-21,International Day of Forests,United Nations observance
2018-03-22,World Water Day,United Nations observance
2018-03-23,World Meteorological Day,United Nations observance
2018-03-24,World Tuberculosis Day,United Nations observance
2018-03-24,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,United Nations observance
2018-03-24,Earth Hour,Worldwide observance
2018-03-25,Palm Sunday,Christian
2018-03-25,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,United Nations observance
2018-03-25,International Day of Solidarity with Detained and Missing Staff Members,United Nations observance
2018-03-26,Prince Jonah Kuhio Kalanianaole Day,State Holiday
2018-03-26,Seward's Day,State Holiday
2018-03-29,Maundy Thursday,Christian
2018-03-29,National Vietnam War Veterans Day,Observance
2018-03-30,Passover Eve,Jewish holiday
2018-03-30,Good Friday,State Holiday
2018-03-30,Wyoming Veterans Welcome Home Day,State Observance
2018-03-30,Doctors' Day,Observance
2018-03-30,Vietnam Veterans Day,State Observance
2018-03-31,Holy Saturday,Christian
2018-03-31,Passover (first day),Jewish holiday
2018-03-31,International Transgender Day of Visibility,Worldwide observance
2018-03-31,César Chávez Day,State Holiday
2018-04-01,April Fool's Day,Worldwide observance
2018-04-01,Easter Sunday,"Observance, Christian"
2018-04-02,World Autism Awareness Day,United Nations observance
2018-04-02,Easter Monday,"Observance, Christian"
2018-04-02,Pascua Florida Day,Local observance
2018-04-04,United Nations' Mine Awareness Day,United Nations observance
2018-04-06,Orthodox Good Friday,Orthodox
2018-04-06,International Day of Sport for Development and Peace,United Nations observance
2018-04-06,Maryland Day,Local observance
2018-04-06,National Tartan Day,Observance
2018-04-07,Last Day of Passover,Jewish holiday
2018-04-07,Orthodox Holy Saturday,Orthodox
2018-04-07,United Nations' World Health Day,United Nations observance
2018-04-07,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance
2018-04-08,Orthodox Easter,Orthodox
