content,tags,posted_time,replies,retweets,likes,views
ご迷惑をおかけしてすみません。hololiveアプリでしょうか？機種名など教えて頂ければ状況確認させて頂きます。よろしくお願いいたします。,,2017-12-28T14:55:17+00:00,0,0,1,-1
LINE LIVEで「ときのそらチャンネル」の放送を見て頂いた方、放送事故や音声が大きすぎる問題など、ご迷惑をおかけし申し訳ございませんでした。今後配信方法などを見直していきたいと考えております。引き続きどうぞよろしくお願いいたします。 #sora_ch,#sora_ch,2017-12-28T11:10:34+00:00,3,2,11,-1
LINE LIVEでの配信にて不具合が発生しておりました。ご迷惑をおかけしました。,,2017-12-28T10:17:19+00:00,0,0,3,-1
#ときのそら の新衣装デザインをお願いできる絵師さんいないかなー。,#ときのそら,2017-12-26T10:58:21+00:00,0,15,15,-1
#ミライアカリ生放送 の後は、ときのそら生放送で癒されよう！今日はクリスマス特別衣装＆ジェスチャーゲームやってるよ！ https://youtube.com/watch?v=MT0fADHhcA4…,#ミライアカリ生放送,2017-12-25T11:28:07+00:00,0,8,20,-1
#ミライアカリ生放送 の後はときのそら生放送を是非！生着替えするらしい！？ https://youtube.com/watch?v=MT0fADHhcA4…,#ミライアカリ生放送,2017-12-25T11:06:52+00:00,0,0,2,-1
"ロボ子さんのキャスト募集を開始しました！
@kuromaru9
 さんの大人気オリジナルキャラクターです。ご興味のある方はこちらから是非ご応募ください！  https://goo.gl/forms/KRxb2zibZvC4c39D3…",,2017-12-22T07:03:14+00:00,4,298,568,-1
"昨夜のLINE LIVEのアーカイブを公開しました。見逃した方は是非ご覧ください！-バーチャルJKときのそら 「バーチャルJKときのそら初LINEライブ」

#LINELIVE で配信中 https://linliv.ee/iIQBRHw/co/ot/sh/pl…",#LINELIVE,2017-12-22T02:12:02+00:00,0,6,12,-1
せっかくのライブ配信をご覧頂けずすみませんでした。今後不具合など随時アップデートにて対応してまいります。どうぞよろしくお願いいたします。,,2017-12-21T12:19:12+00:00,1,0,1,-1
原因を確認いたします。本日はご覧頂くことができず、ご迷惑をおかけしました。,,2017-12-21T12:12:01+00:00,1,0,2,-1
#hololive 上でコメントできない不具合が発生しており、現在対応中ですので、しばらくお待ちください。,#hololive,2017-12-21T11:24:19+00:00,0,0,4,-1
20:00からのhololiveアプリでの配信ですが、現在システムの不具合が発生しており対応中です。復旧までしばらくお待ちください。 #hololivetv,#hololivetv,2017-12-21T11:00:09+00:00,0,0,2,-1
今日のニコ生放送の動画をYouTubeにアップしました。見損ねた方もまた見たい方も是非ご覧ください！ http://youtu.be/EdQ6pAlZh5c #sora_ch,#sora_ch,2017-11-30T13:59:07+00:00,0,0,4,-1
もちろん動画だって撮影できちゃいます！カメラ以外にも気になるメニューがありますねー。,,2017-11-30T13:48:25+00:00,0,4,9,-1
iPhoneアプリのリリース、まもなくです。こんな写真も撮影できますよ。お楽しみに！,,2017-11-30T13:29:14+00:00,0,14,27,-1
バーチャルJKときのそらは17 Liveの初回配信で同時視聴者数2.6万人を達成しました！,,2017-11-29T02:47:46+00:00,1,159,448,-1
皆さん、こんばんは！HoloLiveではバーチャルアイドルとしての活動に興味がある、キャス主の方を募集中です！,,2017-11-28T11:54:13+00:00,0,28,50,-1
"本日バーチャルJK、ときのそらが17Liveで20:30～配信する予定です。是非17Liveのときのそらのアカウントをフォローして、視聴してみてください！
http://17.live/live/312448  #sora_ch",#sora_ch,2017-11-21T06:22:52+00:00,0,0,4,-1
"本日バーチャルJK、ときのそらが17Liveで18:30～配信する予定です。是非17Liveのときのそらのアカウントをフォローして、視聴してみてください！
http://17.live/live/312448 #sora_ch",#sora_ch,2017-11-16T07:35:21+00:00,1,25,65,-1
【クリエイター募集中】オリジナルの3DキャラクターをバーチャルYouTuberやキャス主として活躍させてみたいクリエイターの方を募集しています！ご興味がある方はこのアカウントをフォローの上、DMでご連絡ください。,,2017-11-14T06:07:36+00:00,0,4,7,-1
ご意見ありがとうございます！Androidアプリも今後リリースを検討中です。よろしくお願いいたします。,,2017-10-21T06:27:26+00:00,0,0,5,-1
YouTubeにてバーチャルアイドル第1弾、ときのそらが配信中です！,,2017-10-11T03:27:36+00:00,1,7,20,-1
iPhoneアプリとして近々リリース予定のバーチャルアイドルのライブ配信アプリ「HoloLive(ホロライブ)」の公式アカウントです。,,2017-10-11T03:09:04+00:00,7,18,35,-1
