title,publishedDate,views,likes,comments
【METAL GEAR SOLID 1】we're making it off shadow moses with this one #sneakweek,2023-10-23,0,1015,0
【METAL GEAR COLLAB】just like my japanese animes (announcement),2023-10-22,70596,8119,95
tactical sneaky dance #sneakychallenge #metalgearsolid #shorts,2023-10-21,63191,8984,116
「SNEAKING - Mori Calliope」#MetalGearSolid #メタルギアソリッド #shorts,2023-10-20,37979,5779,120
【MV】 SNEAKING - Song by Mori Calliope（メタルギア公式コラボソング）,2023-10-20,624227,33890,2642
【MINECRAFT】time for spooky (open VC),2023-10-18,71068,7428,67
【スイカゲーム】the last time (open vc),2023-10-15,132315,10532,91
【MINECRAFT】haunted house build continues! (open VC),2023-10-13,81802,8862,56
weird cat #shorts,2023-10-11,136990,27151,581
【Draw & Chat】let's talk,2023-10-11,55549,6293,58
【スイカゲーム】just a little more... (open vc),2023-10-10,213658,12159,85
【MINECRAFT】Haunted House!! (open VC),2023-10-10,111253,10493,45
【踊ってみた】唱 (Show) / Ado #shorts,2023-10-09,344951,36685,369
【The Battle Cats】im beginning to feel like a cat god #sponsored #PR,2023-10-08,68645,6875,118
【スイカゲーム】over 3000 (open vc),2023-10-07,276852,17298,90
【Final Fantasy XVI】it's clivover (FINALE),2023-10-07,64307,6803,66
【ARMORED CORE VI】PVP with Bijou! @KosekiBijou,2023-10-06,100481,9065,92
【踊ってみた】粛聖!! ロリ神レクイエム☆ / しぐれうい #shorts,2023-10-06,336688,49290,639
【スイカゲーム】i get it now,2023-10-05,283571,18606,86
mori rolls the dice!! #blahblahchallenge #hololiveenglish #shorts,2023-10-04,193124,25514,251
【スイカゲーム】wanna know the hype around this fruit game (日本語ちっと話す,2023-10-03,173643,13023,111
【THANK YOU】Chat and Reading Your Messages!!,2023-10-03,48840,7037,36
【DEVOUR】Time and Death Say Howdy to Ghosts...with @OuroKronii,2023-10-02,104455,10873,81
"【ASMR】Husky Voice is All I Got...! Oil Massages, Too!",2023-10-01,248369,14222,185
...I wanted to tell you something.#世界のおわりボイス #shorts,2023-09-30,102825,17868,204
"【KARAOKE / 歌枠】ENDURANCE! Until 2,300,000 Subscribers!!",2023-09-29,173399,18845,202
【MINECRAFT】Cooking Something Special?! (open VC),2023-09-28,74951,8519,60
【F-ZERO 99】DEATH MATCH...with the Grim Reaper.,2023-09-25,91396,8092,103
【BALDUR'S GATE 3】moriope is god (part 4),2023-09-24,65989,6157,51
【Lies of P】this town's finished (part 1),2023-09-24,92779,8067,88
【Final Fantasy XVI】what sights clive will show you (part 6),2023-09-22,51780,5576,68
