title,publishedDate,tags,views,likes,comments
【3D】新レッスン着！ガチ練習配信！【#HoshimaticProject】,2023-11-13,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ときのそら', '夏色まつり', 'アキ・ローゼンタール', '大空スバル', '星街すいせい', '常闇トワ', '桃鈴ねね', '沙花叉クロヱ', '博衣こより', '風真いろは']",60445,24855,0
【3D】新レッスン着！ガチ練習配信！【#HoshimaticProject】,2023-11-13,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ときのそら', '夏色まつり', 'アキ・ローゼンタール', '大空スバル', '星街すいせい', '常闇トワ', '桃鈴ねね', '沙花叉クロヱ', '博衣こより', '風真いろは']",60445,24855,0
【アニメ】天気を操る女の子！あめあめふれふれ～！,2023-11-12,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",489857,45510,2035
【アニメ】天気を操る女の子！あめあめふれふれ～！,2023-11-12,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",489857,45510,2035
【アニメ】天気を操る女の子！あめあめふれふれ～！,2023-11-12,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",489857,45510,2035
【3D新企画告知】この10人で何やるんですか？【#急に集められた10人】,2023-11-06,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ときのそら', '星街すいせい', 'アキ・ローゼンタール', '夏色まつり', '大空スバル', '常闇トワ', '桃鈴ねね', '博衣こより', '沙花叉クロヱ', '風真いろは', 'ダンス']",563534,31482,421
【3D新企画告知】この10人で何やるんですか？【#急に集められた10人】,2023-11-06,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ときのそら', '星街すいせい', 'アキ・ローゼンタール', '夏色まつり', '大空スバル', '常闇トワ', '桃鈴ねね', '博衣こより', '沙花叉クロヱ', '風真いろは', 'ダンス']",563534,31482,421
【アニメ】新ネタ入荷しました～♪,2023-11-05,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",770220,54160,2017
【アニメ】新ネタ入荷しました～♪,2023-11-05,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",770220,54160,2017
【新ボイス発表】スポーツの秋！あなたはどのチームに参加したい？,2023-11-02,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '運動会', 'ホロライブ大運動会']",85445,6905,175
【新ボイス発表】スポーツの秋！あなたはどのチームに参加したい？,2023-11-02,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '運動会', 'ホロライブ大運動会']",85445,6905,175
【新ボイス発表】スポーツの秋！あなたはどのチームに参加したい？,2023-11-02,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '運動会', 'ホロライブ大運動会']",85445,6905,175
【イタズラしてこないの…？】ぶりっ子？あざとい？どちらが好きですか？【#あざと可愛い選手権】,2023-10-30,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",259193,15386,379
