id,privacyStatus,title,publishedDate,duration,tags,views,likes,comments,topicCategories,liveStreamActualStartTime,liveStreamActualEndTime,liveStreamScheduledStartTime,localizations
k8BhllmaNKo,public,【年代別】モテる女子の特徴 #ホロライブ #hololive #夏色まつり #雪花ラミィ #アキロゼ #AZKi #桃鈴ねね,2023-12-29T10:00:29Z,PT39S,[],246648,33135,662,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
8DThlbFIDOg,public,【アイドル×おじさん】わしゃがなTVが殴り込み！？ホロライブを守るのだ！【 #わしゃホロ年末対決】,2023-12-27T17:06:55Z,P0D,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'マフィア梶田', '中村悠一', '白上フブキ', '轟はじめ', 'ReGLOSS', '桃鉄', 'ゲーム']",0,1414,0,[],,,2023-12-30T11:00:00Z,[]
oRchTCkr5R8,public,寝てる人の目を開ける沙花叉クロヱ #ホロライブ #ホロぐら #hololive #shorts #博衣こより,2023-12-27T10:00:38Z,PT15S,[],237782,24992,209,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
r0WrFThbRC8,public,【#ホロと年末年始】みんなで年越し準備！年末年始NEWSをまとめてお届け！【友人Ａ.春先のどか / ホロライブ】,2023-12-27T09:48:48Z,PT40M,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",98925,6957,24,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",2023-12-27T09:06:10Z,2023-12-27T09:46:14Z,2023-12-27T09:00:00Z,[]
tLM8j0Vwhqo,public,【新ボイス発表】もーいーくつねーるーとーお正月～♪,2023-12-26T09:30:10Z,PT1M55S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'ボイス', 'お正月', '年末年始']",49851,5319,112,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",2023-12-26T09:30:10Z,2023-12-26T09:34:00Z,2023-12-26T09:30:00Z,['en']
SLqZ3zVeTUU,public,【funny memes】アクシデント集 #hololive #ホロライブ #hololiveenglish #がうる・ぐら,2023-12-25T10:00:15Z,PT10S,[],617359,48255,513,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",,,,[]
zH2PBKu2qCc,public,【アニメ】クリスマスは一緒に過ごしたい！,2023-12-24T09:00:42Z,PT1M58S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",397591,31206,911,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,"['en', 'ko', 'es', 'id', 'zh-Hant', 'zh-Hans']"
kVy8AhZh6Gc,public,【テンションバトル】でけぇ声出したやつが勝ち！【モッツァレラチーズゲーム】  #ホロライブ #hololive #shorts,2023-12-22T10:00:36Z,PT58S,[],288769,22067,265,['https://en.wikipedia.org/wiki/Video_game_culture'],,,,[]
-BFpr2_75tU,public,アイドルVTuberの理想と現実！  #ホロライブ #hololive #shorts,2023-12-20T10:57:12Z,PT57S,[],811571,61559,732,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
68mWGqFy1W8,public,【#ホロハニ応援歌枠】1stアルバム記念に全力PRを任されました！！【友人A. 春先のどか / ホロライブ公式】,2023-12-20T10:33:47Z,PT58M44S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",99543,9463,102,['https://en.wikipedia.org/wiki/Music'],2023-12-20T09:31:07Z,2023-12-20T10:29:44Z,2023-12-20T09:30:00Z,[]
iWdrdlWAC8k,public,【対談バラエティ】#わかり愛たいふたり【兎田ぺこら＆宝鐘マリン編】,2023-12-19T09:00:07Z,PT27M18S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '兎田ぺこら', '宝鐘マリン', '対談', 'バラエティ']",310284,19604,683,['https://en.wikipedia.org/wiki/Video_game_culture'],2023-12-19T09:00:07Z,2023-12-19T09:29:23Z,2023-12-19T09:00:00Z,"['es', 'en']"
xjbjdiW_pD4,public,【3D】10名全員で練習！2回目のレッスン配信！【#HoshimaticProject】,2023-12-18T12:05:49Z,PT59M44S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",333645,23722,212,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",2023-12-18T11:00:16Z,2023-12-18T12:00:10Z,2023-12-18T11:00:00Z,[]
nu1kltutGRo,public,貸しの菓子を歌詞に乗せて可笑しな踊りで持ってきた！？ #ホロぐら #宝鐘マリン #兎田ぺこら #ホロライブ #hololive #昨日の次回予告,2023-12-18T11:10:41Z,PT23S,[],319183,26767,151,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
X3G8dL5imds,public,【アニメ】祈れば服がはじけ飛ぶ,2023-12-17T09:00:15Z,PT1M18S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",424549,32161,1194,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,"['es', 'ko', 'zh-Hant', 'id', 'en', 'zh-Hans']"
